regionName,regionPcode,townshipName,townshipPcode,userCount
ရှမ်းပြည်နယ် (တောင်),MMR014,ရပ်စောက်,MMR014008,33
ကချင်ပြည်နယ်,MMR001,ဗန်းမော်,MMR001010,33
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ဖျာပုံ,MMR017023,32
မကွေးတိုင်းဒေသကြီး,MMR009,မြိုင်,MMR009020,32
မန္တလေးတိုင်းဒေသကြီး,MMR010,စဉ့်ကိုင်,MMR010014,32
မကွေးတိုင်းဒေသကြီး,MMR009,ရေစကြို,MMR009019,31
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,ညောင်လေးပင်,MMR007005,31
မကွေးတိုင်းဒေသကြီး,MMR009,စလင်း,MMR009010,31
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,ပေါင်းတည်,MMR008004,31
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ကျောက်တန်း,MMR013024,30
မန္တလေးတိုင်းဒေသကြီး,MMR010,ရမည်းသင်း,MMR010023,30
ကချင်ပြည်နယ်,MMR001,မိုးကောင်း,MMR001008,30
တနင်္သာရီတိုင်းဒေသကြီး,MMR006,လောင်းလုံ,MMR006002,30
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ဒလ,MMR013030,30
မန္တလေးတိုင်းဒေသကြီး,MMR010,သာစည်,MMR010030,29
မွန်ပြည်နယ်,MMR011,ဘီးလင်း,MMR011010,29
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,ကြို့ပင်ကောက်,MMR008014,29
တနင်္သာရီတိုင်းဒေသကြီး,MMR006,ကော့သောင်း,MMR006009,29
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ဝက်လက်,MMR005006,29
မကွေးတိုင်းဒေသကြီး,MMR009,ရေနံချောင်း,MMR009002,29
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,လပွတ္တာ,MMR017016,29
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,ရေတာရှည်,MMR007010,28
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,လက်ပံတန်း,MMR008008,27
မန္တလေးတိုင်းဒေသကြီး,MMR010,စဥ့်ကူး,MMR010010,27
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ရေကြည်,MMR017006,27
မကွေးတိုင်းဒေသကြီး,MMR009,ချောက်,MMR009003,27
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,သဲကုန်း,MMR008005,27
ရခိုင်ပြည်နယ်,MMR012,ကျောက်ဖြူ,MMR012011,27
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,တွံတေး,MMR013027,26
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,ပန်းတောင်း,MMR008003,26
မွန်ပြည်နယ်,MMR011,ပေါင်,MMR011008,26
မကွေးတိုင်းဒေသကြီး,MMR009,ပွင့်ဖြူ,MMR009008,25
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,တမူး,MMR005030,25
မကွေးတိုင်းဒေသကြီး,MMR009,တောင်တွင်းကြီး,MMR009004,24
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ခင်ဦး,MMR005005,24
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,မြန်အောင်,MMR017011,24
ရှမ်းပြည်နယ် (တောင်),MMR014,ပင်လောင်း,MMR014009,24
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ကောလင်း,MMR005024,24
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ပုလဲ,MMR005019,24
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,မော်လမြိုင်ကျွန်း,MMR017018,24
မွန်ပြည်နယ်,MMR011,သံဖြူဇရပ်,MMR011004,24
မန္တလေးတိုင်းဒေသကြီး,MMR010,ပျော်ဘွယ်,MMR010024,23
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,မြောင်,MMR005003,23
တနင်္သာရီတိုင်းဒေသကြီး,MMR006,တနင်္သာရီ,MMR006008,23
ရခိုင်ပြည်နယ်,MMR012,သံတွဲ,MMR012015,23
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ကသာ,MMR005020,22
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ထီးချိုင့်,MMR005022,22
ရခိုင်ပြည်နယ်,MMR012,မောင်တော,MMR012009,22
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ခရမ်း,MMR013026,21
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ကျုံပျော်,MMR017005,21
